iter	Passed	Remaining
0	237	237340
1	322	160934
2	397	132142
3	466	116247
4	535	106528
5	596	98737
6	672	95467
7	748	92825
8	1190	131096
9	1293	128068
10	1350	121454
11	1414	116476
12	1478	112243
13	1535	108142
14	1596	104861
15	1668	102618
16	1759	101715
17	1847	100813
18	1929	99619
19	1985	97286
20	2046	95411
21	2106	93641
22	2174	92373
23	2235	90925
24	2297	89603
25	2362	88492
26	2425	87402
27	2481	86155
28	2538	85010
29	2601	84100
30	2707	84623
31	2786	84290
32	2843	83325
33	2900	82416
34	2965	81768
35	3017	80814
36	3075	80036
37	3200	81017
38	3315	81701
39	3409	81826
40	3490	81632
41	3553	81044
42	3610	80361
43	3668	79715
44	3726	79077
45	3783	78475
46	3851	78094
47	3919	77745
48	3978	77216
49	4038	76724
50	4081	75941
51	4129	75279
52	4181	74709
53	4228	74083
54	4276	73474
55	4320	72826
56	4360	72139
57	4409	71612
58	4450	70978
59	4496	70451
60	4542	69921
61	4601	69612
62	4672	69497
63	4721	69058
64	4768	68595
65	4815	68147
66	4860	67681
67	4910	67304
68	4979	67181
69	5040	66963
70	5094	66654
71	5151	66391
72	5209	66154
73	5260	65822
74	5310	65495
75	5361	65185
76	5409	64842
77	5455	64492
78	5504	64169
79	5550	63836
80	5595	63481
81	5641	63156
82	5686	62825
83	5734	62532
84	5774	62162
85	5814	61794
86	5856	61457
87	5901	61165
88	5943	60836
89	5991	60579
90	6071	60645
91	6216	61354
92	6365	62079
93	6449	62159
94	6518	62093
95	6588	62037
96	6662	62021
97	6718	61835
98	6765	61571
99	6808	61278
100	6850	60979
101	6902	60769
102	6949	60519
103	6992	60245
104	7036	59980
105	7079	59710
106	7130	59510
107	7180	59304
108	7228	59084
109	7277	58879
110	7322	58642
111	7365	58396
112	7413	58192
113	7457	57956
114	7501	57732
115	7546	57512
116	7594	57314
117	7645	57143
118	7692	56947
119	7735	56726
120	7779	56512
121	7821	56291
122	7864	56072
123	7910	55882
124	7957	55703
125	8003	55514
126	8049	55331
127	8092	55132
128	8140	54961
129	8184	54771
130	8227	54577
131	8270	54387
132	8317	54222
133	8361	54037
134	8407	53869
135	8450	53685
136	8493	53502
137	8539	53339
138	8583	53166
139	8628	53001
140	8677	52867
141	8720	52693
142	8766	52538
143	8816	52407
144	8857	52227
145	8917	52159
146	8973	52069
147	9023	51944
148	9067	51787
149	9111	51633
150	9158	51491
151	9200	51327
152	9244	51175
153	9290	51035
154	9337	50903
155	9382	50762
156	9427	50619
157	9471	50474
158	9515	50330
159	9558	50183
160	9600	50030
161	9651	49923
162	9698	49800
163	9744	49671
164	9786	49523
165	9829	49382
166	9871	49239
167	9915	49104
168	9960	48976
169	10005	48852
170	10049	48718
171	10092	48584
172	10139	48470
173	10183	48341
174	10227	48217
175	10270	48085
176	10313	47954
177	10358	47834
178	10401	47707
179	10443	47577
180	10487	47456
181	10528	47321
182	10573	47203
183	10621	47104
184	10669	47003
185	10715	46895
186	10759	46779
187	10801	46653
188	10844	46532
189	10888	46419
190	10928	46288
191	10969	46164
192	11017	46068
193	11060	45952
194	11105	45846
195	11149	45736
196	11192	45623
197	11237	45516
198	11280	45403
199	11324	45296
200	11371	45204
201	11417	45103
202	11460	44994
203	11503	44886
204	11546	44777
205	11590	44672
206	11636	44579
207	11684	44492
208	11728	44388
209	11771	44284
210	11814	44179
211	11857	44073
212	11898	43963
213	11939	43852
214	11980	43743
215	12023	43640
216	12068	43546
217	12113	43452
218	12156	43351
219	12201	43258
220	12243	43157
221	12288	43065
222	12331	42966
223	12378	42882
224	12422	42789
225	12465	42691
226	12509	42597
227	12552	42502
228	12594	42403
229	12640	42319
230	12688	42238
231	12733	42151
232	12779	42067
233	12820	41968
234	12865	41880
235	12904	41776
236	12945	41677
237	12984	41572
238	13025	41475
239	13068	41385
240	13116	41309
241	13166	41240
242	13228	41210
243	13277	41139
244	13329	41078
245	13382	41018
246	13425	40930
247	13468	40839
248	13512	40753
249	13557	40671
250	13603	40592
251	13649	40516
252	13695	40436
253	13738	40351
254	13782	40266
255	13822	40171
256	13867	40092
257	13908	40001
258	13949	39909
259	13989	39816
260	14032	39732
261	14084	39672
262	14128	39592
263	14172	39510
264	14216	39430
265	14259	39348
266	14317	39305
267	14364	39233
268	14407	39150
269	14450	39070
270	14492	38986
271	14536	38905
272	14580	38828
273	14632	38771
274	14681	38705
275	14726	38630
276	14769	38548
277	14812	38468
278	14855	38389
279	14896	38304
280	14937	38220
281	14978	38136
282	15020	38055
283	15064	37979
284	15111	37911
285	15154	37833
286	15196	37753
287	15239	37675
288	15280	37594
289	15322	37513
290	15373	37456
291	15416	37379
292	15458	37300
293	15504	37230
294	15547	37156
295	15597	37097
296	15643	37027
297	15686	36952
298	15731	36881
299	15772	36802
300	15814	36725
301	15859	36654
302	15899	36575
303	15943	36501
304	15984	36424
305	16025	36346
306	16067	36269
307	16113	36202
308	16156	36130
309	16199	36056
310	16242	35984
311	16284	35910
312	16329	35842
313	16372	35770
314	16416	35700
315	16460	35629
316	16503	35557
317	16545	35485
318	16592	35422
319	16641	35362
320	16685	35294
321	16727	35222
322	16769	35148
323	16810	35074
324	16854	35005
325	16897	34934
326	16935	34855
327	16977	34782
328	17020	34713
329	17066	34649
330	17112	34586
331	17158	34522
332	17204	34460
333	17249	34395
334	17289	34321
335	17339	34266
336	17383	34200
337	17426	34132
338	17469	34062
339	17511	33992
340	17554	33925
341	17602	33867
342	17649	33806
343	17692	33739
344	17736	33673
345	17778	33604
346	17822	33538
347	17862	33465
348	17903	33395
349	17944	33326
350	17985	33254
351	18026	33184
352	18069	33119
353	18111	33051
354	18156	32987
355	18199	32923
356	18245	32862
357	18287	32795
358	18333	32734
359	18379	32674
360	18421	32606
361	18465	32544
362	18508	32478
363	18553	32417
364	18602	32363
365	18647	32302
366	18693	32241
367	18740	32185
368	18781	32117
369	18825	32054
370	18868	31990
371	18909	31922
372	18950	31855
373	18994	31793
374	19038	31730
375	19083	31670
376	19127	31609
377	19170	31545
378	19212	31480
379	19257	31419
380	19299	31355
381	19345	31296
382	19386	31231
383	19430	31169
384	19472	31105
